region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 3,16,19,Unmarried,0,21,High school degree,0,No,Female,1,No,No,No,No,5,0,0,0,0,70,0,0,0,0,No,No,No,No,No,Yes,No,No,No,1.66,,,,,3.04,Basic service,No
Zone 3,43,51,Married,15,186,Some college,25,No,Male,2,Yes,No,Yes,Yes,19,60,0,20,59,856,2523,0,885,2525,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.94,4.09,,3.01,4.08,5.23,Total service,No
Zone 3,44,31,Unmarried,12,30,Did not complete high school,7,No,Female,3,No,No,Yes,No,8,0,0,13,0,318,0,0,530,0,No,No,No,No,No,No,No,No,No,2.08,,,2.56,,3.40,Basic service,No
Zone 2,72,66,Married,43,96,High school degree,16,No,Female,2,Yes,No,Yes,Yes,35,35,0,22,51,2538,2558,0,1440,3571,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.56,3.55,,3.07,3.93,4.56,Total service,No
Zone 3,61,76,Unmarried,39,15,Did not complete high school,29,Yes,Male,1,Yes,No,Yes,No,19,53,0,24,0,1168,3258,0,1415,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,2.92,3.97,,3.18,,2.71,Plus service,No
Zone 3,43,21,Married,1,25,Did not complete high school,4,No,Male,4,No,No,No,No,8,0,0,0,0,334,0,0,0,0,Yes,No,No,Yes,No,No,Yes,Yes,No,2.03,,,,,3.22,E-service,Yes
Zone 3,24,39,Unmarried,11,49,Some college,7,No,Female,1,No,Yes,No,No,7,0,31,0,0,177,0,657,0,0,No,No,No,Yes,No,No,No,No,No,2.01,,3.43,,,3.89,Basic service,No
Zone 3,64,45,Unmarried,4,38,High school degree,7,No,Female,1,Yes,No,Yes,No,14,23,0,10,0,918,1447,0,610,0,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2.62,3.12,,2.33,,3.64,Plus service,Yes
Zone 2,64,38,Unmarried,0,29,High school degree,2,No,Male,2,Yes,No,Yes,No,18,16,0,17,0,1114,1142,0,1010,0,Yes,No,No,No,No,No,No,No,No,2.86,2.74,,2.82,,3.37,E-service,No
Zone 1,24,26,Unmarried,7,55,High school degree,7,No,Female,1,No,No,No,No,8,0,0,0,0,176,0,0,0,0,No,No,No,No,No,Yes,No,No,No,2.03,,,,,4.01,Basic service,No
Zone 3,33,55,Married,21,64,Some college,10,No,Female,3,Yes,No,Yes,No,5,15,0,25,0,163,495,0,775,0,No,No,No,No,No,No,Yes,Yes,No,1.64,2.67,,3.21,,4.16,Basic service,No
Zone 2,33,33,Married,12,42,College degree,7,No,Female,5,No,Yes,Yes,Yes,9,0,31,23,23,306,0,1019,730,665,Yes,Yes,No,No,No,No,No,No,No,2.17,,3.43,3.14,3.15,3.74,E-service,No
Zone 1,2,40,Unmarried,9,134,College degree,2,No,Male,1,No,Yes,No,No,4,0,24,0,0,5,0,26,0,0,No,No,No,Yes,No,No,No,No,Yes,1.36,,3.17,,,4.90,Basic service,No
Zone 2,42,48,Married,22,82,Did not complete high school,21,No,Female,5,Yes,No,Yes,No,9,25,0,17,0,459,1007,0,750,0,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,2.23,3.22,,2.83,,4.41,Total service,No
Zone 1,52,54,Married,5,153,Post-undergraduate degree,10,No,Male,2,No,Yes,No,Yes,11,0,36,0,30,556,0,1817,0,1525,Yes,Yes,No,Yes,Yes,No,No,No,Yes,2.40,,3.59,,3.41,5.03,E-service,Yes
Zone 1,45,66,Unmarried,43,144,High school degree,13,No,Female,1,No,No,Yes,No,8,0,0,13,0,339,0,0,565,0,Yes,No,No,Yes,No,No,No,No,No,2.05,,,2.56,,4.97,E-service,No
Zone 3,3,25,Unmarried,4,22,College degree,0,No,Male,2,No,Yes,Yes,No,3,0,28,20,0,8,0,48,30,0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1.05,,3.34,2.97,,3.09,Total service,Yes
Zone 2,37,53,Married,16,35,Did not complete high school,16,No,Female,4,No,No,No,No,21,0,0,0,0,788,0,0,0,0,No,No,No,No,No,Yes,Yes,No,No,3.06,,,,,3.56,Plus service,No
Zone 2,28,57,Unmarried,33,82,College degree,22,No,Female,1,No,Yes,No,No,4,0,31,0,0,72,0,858,0,0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1.40,,3.45,,,4.41,E-service,Yes
Zone 3,40,63,Married,9,61,Did not complete high school,22,No,Male,2,No,No,Yes,No,11,0,0,41,0,471,0,0,1635,0,No,No,No,No,No,No,No,No,No,2.39,,,3.71,,4.11,Basic service,No
Zone 2,37,33,Unmarried,1,102,High school degree,12,No,Male,1,No,Yes,Yes,Yes,16,0,33,10,38,647,0,1108,360,1331,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,2.79,,3.51,2.33,3.63,4.62,Total service,No
Zone 3,7,27,Unmarried,5,31,Some college,4,No,Male,5,Yes,Yes,No,Yes,4,15,46,0,42,31,97,272,0,236,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1.42,2.71,3.83,,3.73,3.43,Total service,Yes
Zone 1,71,56,Unmarried,23,170,Did not complete high school,30,No,Female,1,Yes,No,Yes,No,14,27,0,30,0,1001,1841,0,2140,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2.65,3.30,,3.40,,5.14,Total service,No
Zone 2,19,46,Unmarried,11,26,High school degree,0,No,Female,1,No,No,Yes,No,6,0,0,5,0,122,0,0,90,0,No,No,No,Yes,No,Yes,No,Yes,Yes,1.80,,,1.61,,3.26,Basic service,No
Zone 2,61,40,Unmarried,15,85,Some college,15,No,Female,1,Yes,No,Yes,No,14,29,0,23,0,831,1824,0,1310,0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2.61,3.38,,3.12,,4.44,Plus service,No
Zone 3,70,53,Married,16,183,High school degree,35,No,Female,2,No,No,Yes,No,33,0,0,15,0,2235,0,0,1085,0,Yes,No,No,No,No,No,No,No,No,3.49,,,2.71,,5.21,E-service,No
Zone 2,60,55,Married,13,67,Did not complete high school,18,No,Female,2,No,No,Yes,No,11,0,0,15,0,698,0,0,925,0,No,No,No,No,No,No,No,No,No,2.37,,,2.69,,4.20,Basic service,No
Zone 3,48,45,Married,5,42,Did not complete high school,11,No,Female,2,No,No,No,No,9,0,0,0,0,436,0,0,0,0,No,No,No,No,No,Yes,No,No,No,2.22,,,,,3.74,Basic service,No
Zone 1,8,63,Married,1,31,Did not complete high school,9,No,Male,2,Yes,No,Yes,No,2,14,0,11,0,17,103,0,80,0,No,No,No,No,Yes,No,Yes,Yes,No,0.81,2.62,,2.42,,3.43,Plus service,No
Zone 2,58,58,Married,10,96,High school degree,17,No,Male,4,Yes,No,No,No,13,23,0,0,0,711,1346,0,0,0,Yes,No,No,No,Yes,Yes,No,Yes,No,2.53,3.14,,,,4.56,Plus service,No
Zone 1,16,24,Married,5,24,Some college,2,No,Male,5,No,No,Yes,No,9,0,0,15,0,124,0,0,215,0,No,No,No,No,Yes,Yes,Yes,No,No,2.24,,,2.69,,3.18,Plus service,No
Zone 2,33,33,Unmarried,4,53,High school degree,14,No,Female,1,No,No,No,No,5,0,0,0,0,146,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.62,,,,,3.97,Basic service,No
Zone 2,39,25,Unmarried,4,18,Did not complete high school,0,No,Female,1,No,No,No,No,7,0,0,0,0,243,0,0,0,0,Yes,No,No,No,Yes,Yes,No,Yes,No,1.91,,,,,2.89,Plus service,No
Zone 1,62,51,Unmarried,10,43,College degree,19,No,Male,2,No,Yes,Yes,Yes,27,0,43,17,41,1632,0,2584,1015,2521,Yes,No,Yes,Yes,Yes,No,No,No,Yes,3.30,,3.75,2.83,3.72,3.76,E-service,No
Zone 1,50,34,Unmarried,10,104,Some college,9,No,Male,1,Yes,Yes,Yes,Yes,28,22,52,20,48,1444,1220,2568,960,2368,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.31,3.08,3.95,3.01,3.87,4.64,Total service,No
Zone 2,48,55,Unmarried,31,26,Did not complete high school,1,No,Male,1,No,No,No,No,12,0,0,0,0,606,0,0,0,0,No,No,No,No,No,No,No,No,No,2.50,,,,,3.26,Basic service,No
Zone 3,31,62,Unmarried,5,56,High school degree,26,No,Female,1,Yes,No,Yes,No,4,22,0,14,0,124,744,0,435,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.46,3.10,,2.62,,4.03,Plus service,No
Zone 2,65,33,Married,9,49,High school degree,6,No,Male,5,Yes,No,Yes,No,43,17,0,18,0,2707,1094,0,1190,0,Yes,No,No,No,No,No,Yes,No,No,3.76,2.85,,2.86,,3.89,E-service,No
Zone 1,36,58,Unmarried,34,80,Did not complete high school,21,No,Female,1,No,No,Yes,No,9,0,0,9,0,298,0,0,260,0,Yes,No,No,No,No,Yes,No,No,No,2.14,,,2.14,,4.38,E-service,No
Zone 1,61,46,Unmarried,5,318,Some college,18,No,Female,1,Yes,No,Yes,No,29,39,0,85,0,1797,2443,0,5115,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.36,3.67,,4.44,,5.76,Plus service,No
Zone 2,48,42,Unmarried,21,35,College degree,5,No,Male,1,No,No,No,No,13,0,0,0,0,589,0,0,0,0,Yes,No,No,No,No,Yes,Yes,No,No,2.56,,,,,3.56,Plus service,No
Zone 3,35,45,Unmarried,17,29,Did not complete high school,6,No,Male,1,No,No,No,No,8,0,0,0,0,300,0,0,0,0,No,No,No,No,No,No,Yes,No,No,2.13,,,,,3.37,Basic service,No
Zone 1,51,28,Unmarried,8,43,Post-undergraduate degree,1,No,Male,5,Yes,Yes,Yes,Yes,11,35,78,20,80,623,1921,3926,955,4060,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.41,3.56,4.35,3.00,4.39,3.76,Total service,No
Zone 2,49,51,Married,5,80,Post-undergraduate degree,3,No,Male,2,No,Yes,Yes,Yes,6,0,52,36,37,285,0,2435,1810,1679,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.75,,3.95,3.58,3.60,4.38,Total service,Yes
Zone 1,35,39,Married,11,30,Some college,2,No,Female,3,Yes,No,No,No,7,28,0,0,0,225,930,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,1.92,3.32,,,,3.40,Plus service,Yes
Zone 1,58,70,Unmarried,2,9,Some college,24,Yes,Female,1,No,Yes,Yes,Yes,23,0,48,30,35,1384,0,2632,1730,1976,Yes,No,No,Yes,No,No,No,Yes,No,3.15,,3.88,3.39,3.56,2.20,E-service,No
Zone 1,23,35,Married,0,23,High school degree,1,No,Male,5,No,No,No,No,7,0,0,0,0,154,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,1.90,,,,,3.14,Plus service,No
Zone 2,26,39,Married,15,58,College degree,9,No,Female,2,Yes,No,Yes,Yes,9,21,0,7,20,211,568,0,145,494,No,No,No,Yes,Yes,No,Yes,Yes,No,2.16,3.06,,1.87,2.98,4.06,Plus service,No
Zone 1,38,37,Married,1,52,Did not complete high school,20,No,Female,4,Yes,No,Yes,Yes,12,42,0,19,54,533,1686,0,705,2051,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.50,3.73,,2.93,4.00,3.95,Total service,No
Zone 1,35,66,Married,44,14,Some college,12,Yes,Female,2,Yes,No,No,No,5,31,0,0,0,203,1135,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.55,3.43,,,,2.64,Plus service,No
Zone 2,37,50,Unmarried,9,110,High school degree,21,No,Female,1,Yes,No,Yes,No,10,29,0,11,0,364,992,0,375,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.27,3.35,,2.42,,4.70,Plus service,No
Zone 2,48,43,Married,1,60,High school degree,12,No,Male,2,Yes,Yes,Yes,No,16,19,30,32,0,720,905,1501,1495,0,Yes,No,No,No,No,Yes,No,No,No,2.74,2.96,3.39,3.45,,4.09,E-service,No
Zone 3,13,43,Married,1,123,Some college,21,No,Male,5,Yes,Yes,Yes,No,4,23,33,7,0,55,318,439,75,0,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,1.35,3.14,3.50,1.91,,4.81,Total service,No
Zone 1,72,63,Married,29,15,Post-undergraduate degree,31,Yes,Male,2,No,No,Yes,No,21,0,0,31,0,1547,0,0,2180,0,Yes,No,No,No,No,No,Yes,Yes,No,3.03,,,3.44,,2.71,Plus service,No
Zone 1,30,27,Unmarried,4,47,College degree,2,No,Female,2,No,No,Yes,No,11,0,0,21,0,297,0,0,600,0,Yes,No,No,Yes,No,No,No,No,No,2.37,,,3.06,,3.85,E-service,Yes
Zone 1,24,43,Unmarried,14,138,College degree,11,No,Female,1,Yes,No,Yes,Yes,7,20,0,8,25,131,446,0,180,551,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1.89,3.01,,2.08,3.20,4.93,Plus service,No
Zone 2,25,51,Married,20,359,Some college,29,No,Male,2,Yes,Yes,Yes,Yes,6,28,39,41,21,164,676,881,975,476,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.75,3.31,3.67,3.70,3.06,5.88,Total service,No
Zone 2,50,52,Unmarried,30,214,Some college,22,No,Male,1,Yes,Yes,Yes,Yes,12,26,41,12,48,610,1288,1943,530,2413,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2.44,3.27,3.71,2.48,3.88,5.37,Total service,No
Zone 2,28,40,Unmarried,7,64,Did not complete high school,19,No,Male,1,Yes,No,No,No,6,28,0,0,0,168,723,0,0,0,No,No,No,No,Yes,No,No,Yes,No,1.79,3.31,,,,4.16,Plus service,No
Zone 3,34,51,Unmarried,8,50,College degree,14,No,Male,1,No,No,Yes,No,16,0,0,16,0,531,0,0,480,0,No,Yes,No,No,No,No,No,No,Yes,2.78,,,2.76,,3.91,Basic service,No
Zone 1,48,32,Unmarried,2,88,Some college,9,No,Male,1,Yes,No,Yes,Yes,6,34,0,30,45,308,1604,0,1390,2119,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.82,3.52,,3.39,3.80,4.48,Total service,No
Zone 2,42,36,Married,8,86,High school degree,15,No,Female,2,No,Yes,No,No,10,0,31,0,0,436,0,1222,0,0,Yes,No,No,No,No,No,No,No,No,2.28,,3.42,,,4.45,E-service,No
Zone 3,67,65,Married,30,17,Did not complete high school,29,Yes,Female,2,Yes,No,Yes,No,22,26,0,12,0,1384,1721,0,785,0,Yes,No,No,No,Yes,No,Yes,No,No,3.08,3.27,,2.48,,2.83,Plus service,No
Zone 1,17,41,Married,7,25,High school degree,17,No,Male,3,No,Yes,No,No,6,0,29,0,0,114,0,450,0,0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,1.86,,3.37,,,3.22,Plus service,No
Zone 1,29,38,Married,19,46,High school degree,6,No,Male,2,No,Yes,No,No,8,0,23,0,0,249,0,585,0,0,Yes,No,No,No,No,No,No,No,Yes,2.12,,3.13,,,3.83,E-service,No
Zone 3,66,61,Unmarried,26,361,Did not complete high school,40,No,Female,1,No,No,Yes,No,13,0,0,39,0,782,0,0,2615,0,Yes,No,No,No,No,No,No,Yes,No,2.55,,,3.65,,5.89,E-service,No
Zone 2,1,21,Unmarried,1,18,Some college,0,No,Female,1,No,Yes,No,No,3,0,33,0,0,3,0,33,0,0,No,No,No,Yes,No,No,No,Yes,Yes,0.99,,3.49,,,2.89,Basic service,Yes
Zone 1,28,33,Married,3,14,College degree,1,No,Male,3,Yes,Yes,No,Yes,5,16,33,0,24,146,505,870,0,619,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,1.52,2.76,3.50,,3.18,2.64,Total service,Yes
Zone 1,15,35,Married,5,34,Some college,8,No,Male,2,No,Yes,No,No,5,0,26,0,0,111,0,350,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.64,,3.24,,,3.53,E-service,Yes
Zone 2,12,64,Unmarried,13,9,High school degree,6,Yes,Female,1,Yes,Yes,Yes,No,4,30,33,9,0,53,318,377,95,0,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.34,3.40,3.49,2.14,,2.20,Plus service,No
Zone 3,48,49,Unmarried,18,39,High school degree,5,No,Female,1,Yes,Yes,Yes,Yes,7,25,43,24,31,400,1230,2099,1140,1395,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.95,3.20,3.76,3.16,3.43,3.66,Total service,Yes
Zone 2,59,25,Married,4,18,Some college,2,No,Male,4,No,Yes,Yes,No,20,0,33,23,0,1251,0,1883,1415,0,No,No,No,No,No,No,No,No,No,3.00,,3.48,3.12,,2.89,Basic service,No
Zone 3,8,26,Married,1,25,College degree,1,No,Male,2,No,Yes,No,No,3,0,20,0,0,30,0,138,0,0,No,No,No,Yes,No,No,No,No,Yes,1.15,,3.00,,,3.22,Basic service,Yes
Zone 1,45,52,Unmarried,15,46,Post-undergraduate degree,8,No,Female,1,No,No,Yes,No,9,0,0,9,0,402,0,0,395,0,Yes,No,No,No,No,No,No,No,Yes,2.24,,,2.17,,3.83,E-service,Yes
Zone 1,25,39,Married,8,94,College degree,11,No,Female,4,No,Yes,No,No,4,0,31,0,0,95,0,681,0,0,Yes,No,No,No,No,No,No,No,No,1.37,,3.43,,,4.54,E-service,Yes
Zone 1,21,44,Married,4,26,Some college,2,No,Male,2,Yes,Yes,Yes,Yes,8,41,42,24,36,161,863,891,485,703,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.02,3.71,3.75,3.16,3.58,3.26,Total service,No
Zone 2,17,68,Married,1,335,Did not complete high school,35,No,Female,3,Yes,No,Yes,Yes,4,19,0,29,28,70,286,0,525,423,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.27,2.93,,3.38,3.33,5.81,Total service,No
Zone 2,41,45,Unmarried,14,25,Some college,6,No,Male,1,No,Yes,Yes,Yes,8,0,42,14,23,371,0,1676,535,945,No,No,No,Yes,No,No,Yes,Yes,Yes,2.05,,3.75,2.64,3.14,3.22,Basic service,Yes
Zone 1,13,45,Married,3,99,Some college,8,No,Female,2,No,No,Yes,No,9,0,0,24,0,103,0,0,240,0,No,Yes,No,Yes,Yes,No,Yes,No,No,2.16,,,3.17,,4.60,Plus service,Yes
Zone 2,1,26,Married,3,30,High school degree,7,No,Female,5,No,Yes,No,No,1,0,15,0,0,1,0,15,0,0,No,No,No,No,No,No,No,No,Yes,0.05,,2.73,,,3.40,Basic service,Yes
Zone 3,3,31,Married,4,35,High school degree,2,No,Female,3,Yes,Yes,No,Yes,4,13,34,0,22,11,30,75,0,29,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1.47,2.55,3.53,,3.07,3.56,Total service,Yes
Zone 1,23,27,Married,2,51,Post-undergraduate degree,1,No,Female,2,No,Yes,No,No,4,0,24,0,0,95,0,574,0,0,No,Yes,No,No,No,No,No,No,No,1.36,,3.18,,,3.93,Basic service,Yes
Zone 3,26,42,Unmarried,20,49,Some college,13,No,Male,1,Yes,Yes,Yes,Yes,4,25,44,25,28,82,638,1054,625,633,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.25,3.22,3.78,3.20,3.32,3.89,Total service,Yes
Zone 1,37,51,Married,15,54,Did not complete high school,15,No,Male,3,Yes,No,Yes,No,10,17,0,8,0,324,614,0,225,0,Yes,No,No,No,No,Yes,No,Yes,No,2.26,2.80,,2.11,,3.99,Plus service,No
Zone 3,5,30,Unmarried,3,46,College degree,7,No,Male,1,No,Yes,No,No,4,0,32,0,0,18,0,122,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.46,,3.47,,,3.83,E-service,Yes
Zone 1,32,27,Married,3,91,College degree,1,No,Female,3,Yes,Yes,Yes,Yes,6,16,43,4,41,189,543,1247,100,1269,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1.70,2.77,3.75,1.32,3.72,4.51,Total service,Yes
Zone 3,12,22,Unmarried,1,23,College degree,0,No,Male,2,No,No,No,No,4,0,0,0,0,34,0,0,0,0,No,No,No,No,No,No,Yes,No,No,1.40,,,,,3.14,Basic service,No
Zone 1,72,54,Married,6,345,Did not complete high school,32,No,Male,2,No,No,Yes,No,75,0,0,18,0,5465,0,0,1305,0,Yes,No,No,No,No,Yes,No,Yes,No,4.32,,,2.90,,5.84,Plus service,No
Zone 3,3,25,Married,2,45,College degree,0,No,Female,2,Yes,Yes,No,No,3,16,31,0,0,9,53,88,0,0,No,No,No,Yes,No,No,No,No,Yes,1.10,2.76,3.44,,,3.81,Basic service,Yes
Zone 1,54,43,Unmarried,12,53,High school degree,12,No,Male,1,Yes,No,Yes,No,14,32,0,17,0,776,1749,0,845,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.66,3.47,,2.82,,3.97,Plus service,No
Zone 2,26,26,Unmarried,2,14,High school degree,6,No,Female,1,Yes,Yes,No,Yes,8,37,39,0,28,204,884,915,0,765,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,2.05,3.60,3.66,,3.33,2.64,Total service,Yes
Zone 3,14,36,Unmarried,13,67,Post-undergraduate degree,4,No,Female,1,No,Yes,No,No,14,0,25,0,0,187,0,304,0,0,No,No,No,Yes,No,Yes,No,No,No,2.64,,3.22,,,4.20,Basic service,No
Zone 3,22,51,Unmarried,27,49,Some college,1,No,Male,1,No,Yes,Yes,No,9,0,30,18,0,151,0,649,370,0,No,No,Yes,No,No,No,Yes,No,Yes,2.20,,3.42,2.86,,3.89,Basic service,No
Zone 3,65,47,Married,18,37,Did not complete high school,15,No,Female,4,No,No,Yes,No,19,0,0,14,0,1175,0,0,900,0,No,No,No,No,No,No,No,No,No,2.95,,,2.64,,3.61,Basic service,No
Zone 3,26,45,Unmarried,18,33,Did not complete high school,9,No,Male,1,Yes,No,Yes,No,10,24,0,11,0,285,564,0,295,0,No,No,No,No,No,No,No,Yes,No,2.26,3.19,,2.42,,3.50,Basic service,No
Zone 1,20,37,Unmarried,5,46,Some college,10,No,Female,4,No,Yes,Yes,Yes,5,0,45,6,41,92,0,878,90,816,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1.59,,3.80,1.83,3.72,3.83,Total service,No
Zone 2,67,60,Married,32,93,Did not complete high school,21,No,Male,4,No,Yes,Yes,No,19,0,32,43,0,1201,0,2190,2665,0,Yes,No,No,No,No,No,No,No,Yes,2.94,,3.47,3.76,,4.53,E-service,No
Zone 1,34,55,Unmarried,2,48,High school degree,11,No,Male,1,No,No,No,No,4,0,0,0,0,143,0,0,0,0,No,No,No,No,No,No,No,No,No,1.45,,,,,3.87,Basic service,No
Zone 1,37,54,Married,35,183,High school degree,22,No,Male,3,Yes,No,Yes,No,7,21,0,8,0,258,769,0,260,0,No,No,No,No,Yes,Yes,No,Yes,No,1.99,3.02,,2.01,,5.21,Plus service,No
Zone 2,22,23,Married,3,16,Did not complete high school,5,No,Male,4,No,No,Yes,No,5,0,0,9,0,120,0,0,205,0,No,No,No,No,No,No,No,No,No,1.69,,,2.14,,2.77,Basic service,No
Zone 2,5,69,Unmarried,0,11,High school degree,14,Yes,Male,1,Yes,No,Yes,No,7,10,0,8,0,35,45,0,30,0,No,No,No,No,No,No,No,No,No,1.89,2.28,,2.08,,2.40,Basic service,No
Zone 1,28,31,Married,0,42,College degree,5,No,Female,3,Yes,No,No,No,12,24,0,0,0,374,675,0,0,0,Yes,No,No,No,Yes,No,No,Yes,No,2.51,3.17,,,,3.74,Plus service,No
Zone 1,20,41,Married,7,67,College degree,14,No,Female,4,No,No,No,No,7,0,0,0,0,149,0,0,0,0,No,No,No,No,No,No,No,No,No,1.98,,,,,4.20,Basic service,No
Zone 3,72,41,Unmarried,20,181,College degree,12,No,Male,1,Yes,Yes,Yes,Yes,27,23,69,8,52,1964,1646,4981,520,3791,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.31,3.15,4.24,2.05,3.96,5.20,Total service,No
Zone 2,30,43,Unmarried,18,53,College degree,6,No,Male,1,No,Yes,No,No,7,0,27,0,0,233,0,739,0,0,No,No,No,Yes,No,No,No,Yes,Yes,1.95,,3.29,,,3.97,Basic service,No
Zone 3,71,52,Unmarried,17,172,High school degree,32,No,Male,1,Yes,Yes,Yes,Yes,49,42,51,27,68,3599,3016,3469,1850,4828,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.90,3.73,3.93,3.31,4.22,5.15,Total service,No
Zone 2,56,44,Unmarried,24,87,High school degree,19,No,Male,1,Yes,No,Yes,No,15,42,0,16,0,822,2397,0,830,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.69,3.74,,2.79,,4.47,Plus service,No
Zone 1,8,29,Married,2,21,Post-undergraduate degree,0,No,Male,2,No,Yes,No,No,4,0,24,0,0,40,0,167,0,0,No,No,No,No,No,No,No,No,No,1.42,,3.19,,,3.04,Basic service,Yes
Zone 2,32,65,Unmarried,6,9,High school degree,30,Yes,Female,1,No,No,No,No,6,0,0,0,0,201,0,0,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.83,,,,,2.20,E-service,No
Zone 2,46,47,Unmarried,22,144,Some college,22,No,Female,2,Yes,No,No,No,4,28,0,0,0,180,1285,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.25,3.34,,,,4.97,Plus service,Yes
Zone 3,60,45,Married,23,117,College degree,11,No,Male,3,Yes,Yes,Yes,Yes,12,28,52,20,53,756,1721,3036,1135,3095,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.52,3.33,3.95,2.97,3.97,4.76,Total service,No
Zone 2,42,32,Married,0,59,College degree,4,No,Female,6,Yes,Yes,Yes,Yes,17,38,53,23,73,682,1676,2254,880,2806,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.82,3.64,3.98,3.12,4.28,4.08,Total service,No
Zone 3,71,60,Married,39,508,College degree,35,No,Male,4,Yes,No,Yes,No,24,48,0,21,0,1666,3474,0,1465,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.16,3.88,,3.04,,6.23,Total service,No
Zone 2,72,63,Married,40,222,High school degree,43,Yes,Female,2,Yes,No,Yes,No,82,62,0,16,0,5989,4439,0,1150,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,4.40,4.13,,2.74,,5.40,Plus service,No
Zone 3,45,66,Unmarried,11,87,Some college,25,Yes,Female,1,No,No,Yes,No,6,0,0,21,0,307,0,0,880,0,No,No,No,No,Yes,No,No,No,No,1.80,,,3.06,,4.47,Basic service,No
Zone 3,5,31,Unmarried,4,34,Did not complete high school,9,No,Male,1,Yes,Yes,Yes,Yes,2,17,31,13,20,6,79,129,60,70,No,Yes,No,No,Yes,Yes,Yes,Yes,No,0.47,2.85,3.44,2.55,2.99,3.53,Plus service,Yes
Zone 2,17,38,Married,19,18,College degree,0,No,Female,4,No,No,No,No,9,0,0,0,0,162,0,0,0,0,Yes,No,No,No,No,No,No,No,No,2.15,,,,,2.89,E-service,No
Zone 2,70,55,Unmarried,12,65,Some college,24,No,Male,1,Yes,No,Yes,No,27,43,0,21,0,1874,2921,0,1465,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.28,3.76,,3.02,,4.17,Plus service,No
Zone 3,57,57,Married,19,130,Some college,27,No,Female,2,No,Yes,Yes,No,14,0,31,13,0,849,0,1761,685,0,Yes,No,No,Yes,No,No,No,No,Yes,2.61,,3.42,2.55,,4.87,E-service,No
